iter	Passed	Remaining
0	2	292
1	5	269
2	7	240
3	9	224
4	10	206
5	12	189
6	13	175
7	14	167
8	15	159
9	17	153
10	18	148
11	19	144
12	21	143
13	23	143
14	24	140
15	26	136
16	27	133
17	28	130
18	30	127
19	31	124
20	32	121
21	33	118
22	34	116
23	36	114
24	37	111
25	38	109
26	39	107
27	40	105
28	42	103
29	43	101
30	44	99
31	45	97
32	47	95
33	48	93
34	49	92
35	50	90
36	51	88
37	53	86
38	54	85
39	56	84
40	57	82
41	58	80
42	59	78
43	61	78
44	62	76
45	63	75
46	65	73
47	67	72
48	68	71
49	69	69
50	70	67
51	71	66
52	72	64
53	73	62
54	74	61
55	75	59
56	76	57
57	77	56
58	79	55
59	80	53
60	82	52
61	83	51
62	85	50
63	86	48
64	88	47
65	89	46
66	91	44
67	92	43
68	93	42
69	94	40
70	96	39
71	98	38
72	99	36
73	100	35
74	101	33
75	103	32
76	104	31
77	106	29
78	107	28
79	108	27
80	109	25
81	111	24
82	112	22
83	113	21
84	114	20
85	115	18
86	116	17
87	117	16
88	118	14
89	119	13
90	120	11
91	121	10
92	122	9
93	123	7
94	124	6
95	125	5
96	126	3
97	128	2
98	129	1
99	130	0
